%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms1.header.seq,field.transforms1.header.stamp,field.transforms1.header.frame_id,field.transforms1.child_frame_id,field.transforms1.transform.translation.x,field.transforms1.transform.translation.y,field.transforms1.transform.translation.z,field.transforms1.transform.rotation.x,field.transforms1.transform.rotation.y,field.transforms1.transform.rotation.z,field.transforms1.transform.rotation.w,field.transforms2.header.seq,field.transforms2.header.stamp,field.transforms2.header.frame_id,field.transforms2.child_frame_id,field.transforms2.transform.translation.x,field.transforms2.transform.translation.y,field.transforms2.transform.translation.z,field.transforms2.transform.rotation.x,field.transforms2.transform.rotation.y,field.transforms2.transform.rotation.z,field.transforms2.transform.rotation.w,field.transforms3.header.seq,field.transforms3.header.stamp,field.transforms3.header.frame_id,field.transforms3.child_frame_id,field.transforms3.transform.translation.x,field.transforms3.transform.translation.y,field.transforms3.transform.translation.z,field.transforms3.transform.rotation.x,field.transforms3.transform.rotation.y,field.transforms3.transform.rotation.z,field.transforms3.transform.rotation.w,field.transforms4.header.seq,field.transforms4.header.stamp,field.transforms4.header.frame_id,field.transforms4.child_frame_id,field.transforms4.transform.translation.x,field.transforms4.transform.translation.y,field.transforms4.transform.translation.z,field.transforms4.transform.rotation.x,field.transforms4.transform.rotation.y,field.transforms4.transform.rotation.z,field.transforms4.transform.rotation.w,field.transforms5.header.seq,field.transforms5.header.stamp,field.transforms5.header.frame_id,field.transforms5.child_frame_id,field.transforms5.transform.translation.x,field.transforms5.transform.translation.y,field.transforms5.transform.translation.z,field.transforms5.transform.rotation.x,field.transforms5.transform.rotation.y,field.transforms5.transform.rotation.z,field.transforms5.transform.rotation.w
1620841411455853472,0,1620841411454644758,base_link,link_1,0.0,0.0,0.675,0.0,0.0,-0.174681785018,0.984624940768,0,1620841411454644758,link_1,link_2,0.35,0.0,0.0,0.0,-0.428393306873,0.0,0.903592371939,0,1620841411454644758,link_2,link_3,1.15,0.0,0.0,0.0,0.857663842115,0.0,0.514210787448,0,1620841411454644758,link_3,link_4,1.0,0.0,-0.041,-0.188591531646,0.0,0.0,0.982055616649,0,1620841411454644758,link_4,link_5,0.0,0.0,0.0,0.0,-0.565265670845,0.0,0.824908917011,0,1620841411454644758,link_5,link_6,0.0,0.0,0.0,0.0713210503151,0.0,0.0,0.997453411334
1620841411580383302,0,1620841411579228249,base_link,link_1,0.0,0.0,0.675,0.0,0.0,-0.174681785018,0.984624940768,0,1620841411579228249,link_1,link_2,0.35,0.0,0.0,0.0,-0.428252051705,0.0,0.903659327518,0,1620841411579228249,link_2,link_3,1.15,0.0,0.0,0.0,0.85766829352,0.0,0.514203362776,0,1620841411579228249,link_3,link_4,1.0,0.0,-0.041,-0.188572891748,0.0,0.0,0.982059196025,0,1620841411579228249,link_4,link_5,0.0,0.0,0.0,0.0,-0.565397198091,0.0,0.824818773059,0,1620841411579228249,link_5,link_6,0.0,0.0,0.0,0.0712576297444,0.0,0.0,0.997457944077
1620841411707735450,0,1620841411706684870,base_link,link_1,0.0,0.0,0.675,0.0,0.0,-0.174681785018,0.984624940768,0,1620841411706684870,link_1,link_2,0.35,0.0,0.0,0.0,-0.428094050848,0.0,0.903734188591,0,1620841411706684870,link_2,link_3,1.15,0.0,0.0,0.0,0.857673189094,0.0,0.51419519709,0,1620841411706684870,link_3,link_4,1.0,0.0,-0.041,-0.188552392068,0.0,0.0,0.982063132108,0,1620841411706684870,link_4,link_5,0.0,0.0,0.0,0.0,-0.565545134666,0.0,0.824717345916,0,1620841411706684870,link_5,link_6,0.0,0.0,0.0,0.0711803774249,0.0,0.0,0.997463459917
1620841411833356552,0,1620841411832179616,base_link,link_1,0.0,0.0,0.675,0.0,0.0,-0.174681785018,0.984624940768,0,1620841411832179616,link_1,link_2,0.35,0.0,0.0,0.0,-0.427960195311,0.0,0.903797583107,0,1620841411832179616,link_2,link_3,1.15,0.0,0.0,0.0,0.857677196137,0.0,0.514188513317,0,1620841411832179616,link_3,link_4,1.0,0.0,-0.041,-0.188524084892,0.0,0.0,0.982068566555,0,1620841411832179616,link_4,link_5,0.0,0.0,0.0,0.0,-0.565667139498,0.0,0.824633668541,0,1620841411832179616,link_5,link_6,0.0,0.0,0.0,0.0710871953266,0.0,0.0,0.997470105146
1620841411962629077,0,1620841411961731181,base_link,link_1,0.0,0.0,0.675,0.0,0.0,-0.174681785018,0.984624940768,0,1620841411961731181,link_1,link_2,0.35,0.0,0.0,0.0,-0.427807557628,0.0,0.903869843305,0,1620841411961731181,link_2,link_3,1.15,0.0,0.0,0.0,0.857680960825,0.0,0.514182233685,0,1620841411961731181,link_3,link_4,1.0,0.0,-0.041,-0.188491509591,0.0,0.0,0.982074819355,0,1620841411961731181,link_4,link_5,0.0,0.0,0.0,0.0,-0.565796536154,0.0,0.824544892457,0,1620841411961731181,link_5,link_6,0.0,0.0,0.0,0.071003152463,0.0,0.0,0.997476091112
1620841412088375213,0,1620841412087184842,base_link,link_1,0.0,0.0,0.675,0.0,0.0,-0.174681733463,0.984624949915,0,1620841412087184842,link_1,link_2,0.35,0.0,0.0,0.0,-0.427654126794,0.0,0.903942447192,0,1620841412087184842,link_2,link_3,1.15,0.0,0.0,0.0,0.857684317148,0.0,0.514176635135,0,1620841412087184842,link_3,link_4,1.0,0.0,-0.041,-0.188461445172,0.0,0.0,0.9820805892,0,1620841412087184842,link_4,link_5,0.0,0.0,0.0,0.0,-0.565939646356,0.0,0.824446673038,0,1620841412087184842,link_5,link_6,0.0,0.0,0.0,0.0709241665095,0.0,0.0,0.997481710411
1620841412214993132,0,1620841412213606522,base_link,link_1,0.0,0.0,0.675,0.0,0.0,-0.174681836573,0.984624931622,0,1620841412213606522,link_1,link_2,0.35,0.0,0.0,0.0,-0.427520753198,0.0,0.904005534046,0,1620841412213606522,link_2,link_3,1.15,0.0,0.0,0.0,0.857687292039,0.0,0.514171672765,0,1620841412213606522,link_3,link_4,1.0,0.0,-0.041,-0.188435014392,0.0,0.0,0.982085660903,0,1620841412213606522,link_4,link_5,0.0,0.0,0.0,0.0,-0.566055079038,0.0,0.824367422631,0,1620841412213606522,link_5,link_6,0.0,0.0,0.0,0.0708496021079,0.0,0.0,0.99748700938
1620841412348045385,0,1620841412346815424,base_link,link_1,0.0,0.0,0.675,0.0,0.0,-0.174681733463,0.984624949915,0,1620841412346815424,link_1,link_2,0.35,0.0,0.0,0.0,-0.427366518268,0.0,0.904078458467,0,1620841412346815424,link_2,link_3,1.15,0.0,0.0,0.0,0.857690545093,0.0,0.514166246323,0,1620841412346815424,link_3,link_4,1.0,0.0,-0.041,-0.18840728935,0.0,0.0,0.982090980164,0,1620841412346815424,link_4,link_5,0.0,0.0,0.0,0.0,-0.566193267111,0.0,0.824272518211,0,1620841412346815424,link_5,link_6,0.0,0.0,0.0,0.0707659147163,0.0,0.0,0.997492950007
1620841412473584894,0,1620841412472195223,base_link,link_1,0.0,0.0,0.675,0.0,0.0,-0.174681785018,0.984624940768,0,1620841412472195223,link_1,link_2,0.35,0.0,0.0,0.0,-0.427209682909,0.0,0.904152579396,0,1620841412472195223,link_2,link_3,1.15,0.0,0.0,0.0,0.857693730809,0.0,0.514160932132,0,1620841412472195223,link_3,link_4,1.0,0.0,-0.041,-0.188379649863,0.0,0.0,0.982096282203,0,1620841412472195223,link_4,link_5,0.0,0.0,0.0,0.0,-0.566323822595,0.0,0.824182824354,0,1620841412472195223,link_5,link_6,0.0,0.0,0.0,0.0706926116729,0.0,0.0,0.997498147695
1620841412599685359,0,1620841412598548126,base_link,link_1,0.0,0.0,0.675,0.0,0.0,-0.174681785018,0.984624940768,0,1620841412598548126,link_1,link_2,0.35,0.0,0.0,0.0,-0.427077690762,0.0,0.904214933549,0,1620841412598548126,link_2,link_3,1.15,0.0,0.0,0.0,0.857696638307,0.0,0.51415608198,0,1620841412598548126,link_3,link_4,1.0,0.0,-0.041,-0.188355292709,0.0,0.0,0.982100953929,0,1620841412598548126,link_4,link_5,0.0,0.0,0.0,0.0,-0.566446841466,0.0,0.824098280421,0,1620841412598548126,link_5,link_6,0.0,0.0,0.0,0.0706297453696,0.0,0.0,0.997502601034
